title	domain	tags	location
和讯财经新闻	news.hexun.com	新闻媒体	北京,朝阳
网易娱乐	ent.163.com	休闲娱乐,娱乐时尚	广东,广州
天气网	tianqi.com	生活服务,常用查询	海南
百度经验	jingyan.baidu.com	教育文化,百科辞典	北京,海淀
百度贴吧	tieba.baidu.com	综合其他,论坛综合	北京,海淀
百度音乐	music.baidu.com	休闲娱乐,音乐网站	北京,海淀
新浪新闻	news.sina.com.cn	新闻媒体,新闻报刊	北京,海淀
百度视频	v.baidu.com	休闲娱乐,视频电影	北京,海淀
天涯社区	tianya.cn	综合其他,论坛综合	海南,海口
寻医问药 	xywy.com	医疗健康,健康保健	北京,海淀
知乎	zhihu.com	综合其他,社交网站,教育文化,百科辞典	北京,海淀
搜房网房天下	fang.com	生活服务,房产网站	北京,朝阳
互动百科	baike.com	教育文化,百科辞典	北京,朝阳
39健康网	39.net	医疗健康,健康保健	广东,广州
爱卡汽车  	xcar.com.cn	生活服务,汽车网站	北京,海淀
中国教育在线	eol.cn	教育文化,教育资讯	北京,海淀
有问必答网	120ask.com	医疗健康,健康保健	北京,丰台
PPS网络电视官方网站	pps.tv	休闲娱乐,视频电影	上海,徐汇
中国天气网	weather.com.cn	生活服务,常用查询	北京,海淀
美食天下	meishichina.com	生活服务,餐饮美食	北京,朝阳
蚂蜂窝	mafengwo.cn	交通旅游,票务预订,旅游网站	北京,朝阳
央视网视频	tv.cntv.cn	休闲娱乐,视频电影	北京,海淀
站长之家	chinaz.com	综合其他,门户网站,网络科技,站长资源	福建,厦门
太平洋亲子网	pcbaby.com.cn	生活服务,母婴网站	广东,广州
新浪体育	sports.sina.com.cn	体育健身,体育综合	北京,海淀
应届毕业生求职网 	yjbys.com	生活服务,求职招聘	广东,广州
完美世界	wanmei.com	休闲娱乐,游戏网站	北京,海淀
中国青年网新闻频道	news.youth.cn	新闻媒体	北京,东城区
快递100	kuaidi100.com	生活服务,常用查询	广东,深圳
21CN新闻	news.21cn.com	新闻媒体,新闻报刊	广东,深圳
金投网	cngold.org	生活服务,金融财经	浙江,杭州
太平洋电脑网IT产品报价库	product.pconline.com.cn	网络科技,电脑硬件	广东,广州
中国青年网发现频道	d.youth.cn	综合其他,门户网站	北京,东城区
乐彩	lecai.com	体育健身,福彩体彩	北京
2345天气预报	tianqi.2345.com	生活服务,常用查询	上海,浦东
好豆网	haodou.com	生活服务,餐饮美食	湖南,长沙
腾讯体育	sports.qq.com	体育健身,体育综合	广东,深圳
出国留学网	liuxue86.com	教育文化,出国留学	湖南,长沙
天极下载	mydown.yesky.com	网络科技,软件下载	重庆,渝北区
百度百科	baike.baidu.com	教育文化,百科辞典	北京,海淀
舜网 	e23.cn	新闻媒体,新闻报刊	山东,济南
天涯论坛	bbs.tianya.cn	综合其他,论坛综合	广东,珠海
慧聪网	hc360.com	购物网站,电商网站,行业企业,商务服务	北京,海淀
百度地图	map.baidu.com	交通旅游,交通地图	北京,海淀
太平洋软件下载中心	dl.pconline.com.cn	网络科技,软件下载	广东,广州
携程旅游攻略	you.ctrip.com	交通旅游	上海,长宁
途牛旅游网	tuniu.com	交通旅游,票务预订,旅游网站	江苏,南京
爱问	iask.sina.com.cn	综合其他,搜索引擎,教育文化,百科辞典	北京,海淀
中国网江苏站	jiangsu.china.com.cn	综合其他,门户网站	江苏
中国青年网娱乐频道	fun.youth.cn	休闲娱乐,娱乐时尚	北京,东城区
太平洋女性网	pclady.com.cn	休闲娱乐,娱乐时尚	广东,广州
武进新闻网	wj001.com	综合其他,地方网站,新闻媒体,新闻报刊	江苏,常州
爱奇艺搜索	so.iqiyi.com	综合其他,搜索引擎	北京,海淀
闻康网寻医问药社区	club.xywy.com	综合其他,论坛综合	北京,海淀
91单机游戏网	91danji.com	休闲娱乐,游戏网站	广东
维度女性网	vdolady.com	休闲娱乐,娱乐时尚	天津,和平区
百度旅游	lvyou.baidu.com	交通旅游	北京,海淀
99单机游戏网	99danji.com	休闲娱乐,游戏网站	湖北,武汉
360安全中心	360.cn	网络科技,网络安全	北京,朝阳
苹果官方网站	apple.com	行业企业,跨国公司,网络科技,手机数码	海外
智联招聘	zhaopin.com	生活服务,求职招聘	北京,朝阳
中国移动通信集团公司	10086.cn	行业企业,广电通信	北京,西城区
华东在线	cnhuadong.net	综合其他,地方网站	江西,南昌
新浪财经	finance.sina.com.cn	生活服务,金融财经	北京,海淀
17173	17173.com	休闲娱乐,游戏网站	福建,福州
电玩巴士	tgbus.com	休闲娱乐,游戏网站	北京,石景山
7k7k小游戏大全	7k7k.com	休闲娱乐,游戏网站	北京,海淀
去哪儿	qunar.com	交通旅游,票务预订,旅游网站	北京,海淀
中国经济网	ce.cn	综合其他,门户网站,生活服务,金融财经,新闻媒体,新闻报刊	北京,东城区
中国网山东新闻	sd.china.com.cn	新闻媒体	山东
178游戏网	178.com	休闲娱乐,游戏网站	北京,朝阳
风行网	fun.tv	休闲娱乐,视频电影	北京,海淀
豆丁文库	docin.com	教育文化,百科辞典	北京,海淀
华军软件园 	onlinedown.net	网络科技,软件下载	江苏,宿迁
Mtime时光网	mtime.com	休闲娱乐,视频电影	北京,朝阳
直播吧	zhibo8.cc	体育健身,体育综合,新闻媒体,广播电视	海南
驱动之家	mydrivers.com	网络科技,电脑硬件	河南,郑州
PPTV	pptv.com	休闲娱乐,视频电影	上海,浦东
太平洋游戏网	pcgames.com.cn	休闲娱乐,游戏网站	广东,广州
华数TV网	wasu.cn	休闲娱乐,视频电影	浙江,宁波
中国新闻网	chinanews.com	综合其他,门户网站,新闻媒体,新闻报刊	北京,西城区
顶点小说	23wx.com	休闲娱乐,小说网站	江苏
爱拍原创	aipai.com	休闲娱乐,视频电影	广东,广州
天极图片	pic.yesky.com	休闲娱乐,图片摄影	重庆,渝北区
腾讯微博	t.qq.com	综合其他,社交网站	广东,深圳
小皮游戏	xiaopi.com	休闲娱乐,游戏网站	福建,厦门
360影视	360kan.com	休闲娱乐,视频电影	北京,朝阳
高考志愿填报参考系统	gkcx.eol.cn	教育文化,教育考试	北京
迅雷看看	kankan.com	休闲娱乐,视频电影	广东,深圳
支付宝	alipay.com	网络科技,电子支付	浙江,杭州
西安文明网	wmxa.cn	综合其他,地方网站	陕西,西安
股城网	gucheng.com	生活服务,金融财经	广东,广州
下载之家软件站	downza.cn	网络科技,软件下载	北京
前瞻网	qianzhan.com	网络科技,IT资讯	广东,深圳
南方网	southcn.com	综合其他,门户网站,新闻媒体,新闻报刊	广东,广州
腾讯游戏频道	games.qq.com	休闲娱乐,游戏网站	广东,深圳
谷歌中国	google.cn	综合其他,搜索引擎	北京
52PK游戏网	52pk.com	休闲娱乐,游戏网站	重庆
楚秀网	aihami.com	新闻媒体,新闻报刊	江苏,淮安
华夏收藏网	cang.com	休闲娱乐,收藏爱好	浙江,杭州
搜狐娱乐	yule.sohu.com	休闲娱乐,娱乐时尚	北京,海淀
本地宝	bendibao.com	综合其他,地方网站	广东,深圳
4399游戏资讯	news.4399.com	休闲娱乐,游戏网站	福建,厦门
百度翻译	fanyi.baidu.com	教育文化,百科辞典	北京,海淀
小米网	mi.com	网络科技,手机数码	北京,朝阳
天极网产品库	product.yesky.com	网络科技,电脑硬件	重庆,渝北区
百度图片	image.baidu.com	休闲娱乐,图片摄影	北京,海淀
笔趣阁	biquge.la	休闲娱乐,小说网站	
中国日报网国内新闻	cnews.chinadaily.com.cn	新闻媒体	福建,厦门
环球网	www.huanqiu.com	综合其他,门户网站,新闻媒体,新闻报刊	北京,朝阳
英雄联盟官方网站	lol.qq.com	休闲娱乐,游戏网站	广东,深圳
伊秀娱乐网	ent.yxlady.com	休闲娱乐,娱乐时尚	广东,广州
hao123下载站	soft.hao123.com	网络科技,软件下载	北京,海淀
北晚新视觉网	takefoto.cn	新闻媒体,新闻报刊	北京,东城区
齐鲁晚报网	qlwb.com.cn	新闻媒体,新闻报刊	山东,济南
川北在线	guangyuanol.cn	综合其他,地方网站	四川,成都
家庭医生在线	familydoctor.com.cn	医疗健康,健康保健	广东,广州
北晨网	morningpost.com.cn	新闻媒体,新闻报刊	北京,朝阳
百度阅读	yuedu.baidu.com	教育文化,百科辞典	北京,海淀
快科技新闻中心	news.mydrivers.com	新闻媒体	河南,郑州
腾讯动漫	ac.qq.com	休闲娱乐,动漫网站	广东,深圳
百山探索	83133.com	教育文化,科学探索	广东
天猫	tmall.com	购物网站,电商网站	浙江,杭州
易车网 	bitauto.com	生活服务,汽车网站	北京,海淀
东方网	eastday.com	综合其他,门户网站	上海,徐汇
1号店	yhd.com	购物网站,电商网站	上海,浦东
当当网	dangdang.com	购物网站,电商网站	北京,东城区
宝宝树	babytree.com	生活服务,母婴网站	北京
中国铁路客户服务中心	www.12306.cn	交通旅游,票务预订	北京,海淀
虎扑体育 	hupu.com	体育健身,体育综合	上海,虹口
前程无忧	51job.com	生活服务,求职招聘	上海,浦东
虾米音乐网	xiami.com	休闲娱乐,音乐网站	浙江,杭州
美团	meituan.com	购物网站,电商网站,团购网站	北京,海淀
一淘网	etao.com	购物网站,电商网站,返利比价,综合其他,搜索引擎	浙江,杭州
舜网新闻中心	news.e23.cn	新闻媒体	山东,济南
大众点评网	dianping.com	生活服务,餐饮美食	上海,长宁
人人网	renren.com	综合其他,社交网站,生活服务,聊天交友	北京,朝阳
糯米网	nuomi.com	购物网站,电商网站,团购网站	北京,海淀
爱站网	aizhan.com	网络科技,站长资源	广东,梅州
太平洋汽车网 	pcauto.com.cn	生活服务,汽车网站	广东,广州
土巴兔装修网	to8to.com	生活服务,家居建材	广东,深圳
中国建设银行官网	ccb.com	生活服务,银行保险	北京,西城区
腾讯财经	finance.qq.com	生活服务,金融财经	广东,深圳
未来网	k618.cn	教育文化,教育资讯	北京
19楼	19lou.com	综合其他,地方网站	浙江,杭州
海词词典	dict.cn	教育文化,百科辞典	上海,浦东
浙江在线	zjol.com.cn	综合其他,地方网站,新闻媒体,新闻报刊	浙江,杭州
华声在线	voc.com.cn	综合其他,门户网站	湖南,长沙
游侠网	ali213.net	休闲娱乐,游戏网站,综合其他,门户网站	浙江,杭州
新浪科技	tech.sina.com.cn	网络科技,IT资讯	北京,海淀
铁血网	tiexue.net	教育文化,军事国防	北京,海淀
bt天堂	bttiantang.com	休闲娱乐,视频电影	海外
晋江文学城	jjwxc.net	休闲娱乐,小说网站	北京,朝阳
酷狗音乐	kugou.com	休闲娱乐,音乐网站	广东,广州
百姓网	baixing.com	生活服务,分类信息	上海,徐汇
深圳新闻网	sznews.com	综合其他,门户网站,新闻媒体,新闻报刊	广东,深圳
爱词霸	iciba.com	教育文化,百科辞典	北京,海淀
网易财经	money.163.com	生活服务,金融财经	广东,广州
搜狐体育	sports.sohu.com	体育健身,体育综合	北京,海淀
酷我音乐	kuwo.cn	休闲娱乐,音乐网站	北京
迅雷看看	xunlei.com	休闲娱乐,视频电影	广东,深圳
有妖气	u17.com	休闲娱乐,动漫网站	北京,东城区
电影天堂	dytt8.net	休闲娱乐,视频电影	海外
国际在线	cri.cn	综合其他,门户网站	
CNTV新闻台	news.cntv.cn	新闻媒体,新闻报刊	北京,海淀
中国广播网	cnr.cn	新闻媒体,广播电视	北京,西城区
福州新闻网	fznews.com.cn	新闻媒体,新闻报刊	福建,福州
新浪视频	video.sina.com.cn	休闲娱乐,视频电影	北京,海淀
同花顺金融服务网	10jqka.com.cn	生活服务,金融财经	浙江,杭州
音悦台	yinyuetai.com	休闲娱乐,音乐网站	北京,海淀
中国电信网上营业厅	189.cn	行业企业,广电通信	北京,西城区
昵图网	nipic.com	网络科技,设计素材	浙江,杭州
一听音乐网	1ting.com	休闲娱乐,音乐网站	北京,海淀
华为	huawei.com	行业企业,广电通信	广东,深圳
中彩网	zhcw.com	体育健身,福彩体彩	北京,海淀
游民星空	gamersky.com	休闲娱乐,游戏网站	河北,石家庄
中公教育网	offcn.com	教育文化,教育考试,培训机构	北京,海淀
凤凰网时尚	fashion.ifeng.com	休闲娱乐,娱乐时尚	北京,朝阳
18183	18183.com	休闲娱乐,游戏网站	天津
游久网	uuu9.com	休闲娱乐,游戏网站	陕西,西安
腾讯科技	tech.qq.com	网络科技,IT资讯	北京
国际在线	gb.cri.cn	综合其他,门户网站	北京,石景山
九酷音乐网	9ku.com	休闲娱乐,音乐网站	河南
搜库	soku.com	综合其他,搜索引擎	北京,海淀
微信公众平台	mp.weixin.qq.com	综合其他,社交网站	广东,广州
搜狐汽车	auto.sohu.com	生活服务,汽车网站	北京,海淀
3DMGAME	3dmgame.com	休闲娱乐,游戏网站	北京,朝阳
500彩票网	500.com	体育健身,福彩体彩	广东,深圳
IT之家	ithome.com	网络科技,IT资讯	山东,青岛
搜狐财经	business.sohu.com	生活服务,金融财经	北京,海淀
TechWeb	techweb.com.cn	综合其他,门户网站,网络科技,IT资讯	北京,海淀
网易科技	tech.163.com	网络科技	北京
《参考消息》官方网站	cankaoxiaoxi.com	新闻媒体,新闻报刊	北京,西城区
吉和网	365jilin.com	综合其他,门户网站,论坛综合,地方网站	吉林,长春
飞卢中文网	faloo.com	休闲娱乐,小说网站	北京
荆楚网	cnhubei.com	综合其他,门户网站,新闻媒体,新闻报刊	湖北,武汉
斗鱼TV	douyutv.com	休闲娱乐,游戏网站	湖北,武汉
新浪教育	edu.sina.com.cn	教育文化,教育资讯	北京,海淀
中华网军事	military.china.com	教育文化,军事国防	北京,朝阳
中国工商银行官网	icbc.com.cn	生活服务,银行保险	北京,西城区
虎牙直播	huya.com	休闲娱乐,游戏网站	广东,广州
千图网	58pic.com	网络科技,设计素材	上海,浦东
中金在线	cnfol.com	生活服务,金融财经	福建,福州
游迅网	yxdown.com	休闲娱乐,游戏网站	上海,嘉定
脚本之家	jb51.net	网络科技,技术编程	江苏,徐州
北青网中国新闻	china.ynet.com	新闻媒体	北京,朝阳
逗游网	doyo.cn	休闲娱乐,游戏网站	北京
IT168  	it168.com	网络科技,电脑硬件	北京,海淀
站长素材	sc.chinaz.com	网络科技,设计素材	福建,厦门
铁血论坛	bbs.tiexue.net	综合其他,论坛综合	北京,海淀
多玩游戏论坛	bbs.duowan.com	休闲娱乐,游戏网站	广东,广州
极速漫画	1kkk.com	休闲娱乐,动漫网站	浙江,温州
暴风影音官网	baofeng.com	休闲娱乐,视频电影	北京,海淀
未来网新闻大放送	news.k618.cn	新闻媒体	北京,海淀
IP地址查询	ip138.com	生活服务,常用查询	广东,梅州
中国平安保险	pingan.com	生活服务,银行保险	广东,深圳
虎扑体育论坛	bbs.hupu.com	综合其他,论坛综合	上海,虹口
美乐乐家具网	meilele.com	生活服务,家居建材	四川,成都
acfun弹幕视频网	acfun.tv	休闲娱乐,视频电影,动漫网站	浙江,杭州
南方财富网	southmoney.com	生活服务,金融财经	福建,厦门
8684公交网	8684.cn	生活服务,常用查询,交通旅游,交通地图	广东,广州
网易数码	digi.163.com	网络科技,手机数码	广东,广州
考试吧	exam8.com	教育文化,教育考试	北京,海淀
一淘搜索	s.etao.com	综合其他,搜索引擎	浙江,杭州
穿越火线官方网站	cf.qq.com	休闲娱乐,游戏网站	广东,深圳
汽车之家汽车论坛	club.autohome.com.cn	综合其他,论坛综合	北京,海淀
全景图片网	quanjing.com	休闲娱乐,图片摄影	北京,朝阳
豆瓣读书	book.douban.com	休闲娱乐,小说网站	北京,朝阳
美食杰	meishij.net	生活服务,餐饮美食	北京,海淀
海南在线	hainan.net	综合其他,门户网站,地方网站	海南,海口
天涯问答	wenda.tianya.cn	教育文化,百科辞典	海南,海口
非凡软件站	crsky.com	网络科技,软件下载	福建,厦门
东方财富网股吧	guba.eastmoney.com	综合其他,论坛综合	上海,徐汇
东北新闻网	nen.com.cn	综合其他,地方网站,新闻媒体,新闻报刊	辽宁,沈阳
网易体育	sports.163.com	体育健身,体育综合	广东,广州
个性网	gexing.com	综合其他,QQ个性	北京
欣欣旅游网	cncn.com	交通旅游,票务预订,旅游网站	福建,厦门
动漫之家	dmzj.com	休闲娱乐,动漫网站	北京
E都市	edushi.com	生活服务,分类信息,常用查询,交通旅游,交通地图	浙江,杭州
海外网	haiwainet.cn	新闻媒体,新闻报刊	海外
豆果网	douguo.com	生活服务,餐饮美食	北京,朝阳
Q友乐园	qzone.cc	综合其他,QQ个性	北京
太平洋汽车网汽车报价	price.pcauto.com.cn	生活服务,汽车网站	广东,广州
安居客	anjuke.com	生活服务,房产网站	上海,浦东
太平洋家居网	pchouse.com.cn	生活服务,家居建材	广东,广州
扬子晚报网	yangtse.com	新闻媒体,新闻报刊	江苏,南京
妈妈网	mama.cn	生活服务,母婴网站	广东,广州
焦点房地产网	focus.cn	生活服务,房产网站	北京,海淀
无忧考网	51test.net	教育文化,教育考试	北京,海淀
伊秀生活网	life.yxlady.com	生活服务	广东,广州
微信	weixin.qq.com	综合其他,社交网站	广东,广州
CSDN  	csdn.net	网络科技,技术编程	北京,朝阳
 查字典	chazidian.com	教育文化,百科辞典,生活服务,常用查询	福建,厦门
文化中国	cul.china.com.cn	新闻媒体,新闻报刊	
新蓝网新闻频道	n.cztv.com	新闻媒体	
17k小说网	17k.com	休闲娱乐,小说网站	北京,东城区
顺丰快递官网	sf-express.com	行业企业,物流运输	广东,深圳
新民网 	xinmin.cn	综合其他,门户网站,新闻媒体,新闻报刊	上海,静安
道客巴巴	doc88.com	教育文化,百科辞典	北京,海淀
学优高考网	gkstk.com	教育文化,教育考试	北京,丰台
摇篮网	yaolan.com	生活服务,母婴网站	北京,东城区
糖豆网	tangdou.com	休闲娱乐,视频电影,综合其他,门户网站	北京,海淀
无忧无虑中学语文网	5156edu.com	教育文化,教育考试	浙江,温州
万家热线	365jia.cn	综合其他,地方网站	安徽,合肥
360安全网址导航	hao.360.cn	综合其他,网址导航	北京,朝阳
爱卡汽车选车中心	newcar.xcar.com.cn	生活服务,汽车网站	北京,海淀
沪江英语	hjenglish.com	教育文化,外语综合	上海,浦东
新东方	xdf.cn	教育文化,教育考试,外语综合,出国留学,培训机构	北京,海淀
找法网	findlaw.cn	综合其他,法律法规	广东,广州
华龙网	cqnews.net	综合其他,门户网站,新闻媒体,新闻报刊	重庆,渝北区
VeryCD	verycd.com	休闲娱乐,视频电影	上海,徐汇
沪江网	hujiang.com	教育文化,外语综合	上海,浦东
七丽女性网	7y7.com	休闲娱乐,娱乐时尚	湖南
法律快车	lawtime.cn	综合其他,法律法规	广东,广州
微盘	vdisk.weibo.com	网络科技,网络硬盘	北京,海淀
博客园	cnblogs.com	综合其他,博客网站,网络科技,技术编程	上海,浦东
找法网	china.findlaw.cn	综合其他,法律法规	广东,广州
中国银行官网	www.boc.cn	生活服务,银行保险	北京,西城区
99健康网 	99.com.cn	医疗健康,健康保健	福建,厦门
今日头条	toutiao.com	新闻媒体,新闻报刊	北京
光明网新闻中心	news.gmw.cn	新闻媒体	北京,东城区
腾牛网	qqtn.com	综合其他,QQ个性	湖北
潇湘书院	xxsy.net	休闲娱乐,小说网站	江苏,苏州
育儿网	ci123.com	生活服务,母婴网站	江苏,南京
学习啦	xuexila.com	教育文化,教育考试	湖北,武汉
华讯财经	591hx.com	综合其他,门户网站,生活服务,金融财经	辽宁,大连
天天基金网	fund.eastmoney.com	生活服务,金融财经	上海,徐汇
第一范文网	diyifanwen.com	教育文化,教育考试,百科辞典	广东
中国网河南	henan.china.com.cn	综合其他,门户网站,新闻媒体,新闻报刊	河南,郑州
东北网	dbw.cn	综合其他,门户网站,地方网站,新闻媒体,新闻报刊	黑龙江,哈尔滨
股城网财经频道	finance.gucheng.com	生活服务,金融财经	广东,广州
搜狐军事频道	mil.sohu.com	教育文化,军事国防	北京,海淀
牛游戏网	newyx.net	休闲娱乐,游戏网站	江苏
东方财富行情中心	quote.eastmoney.com	生活服务,金融财经	上海,徐汇
品善网	pinshan.com	休闲娱乐,娱乐时尚	四川
5068小游戏	5068.com	休闲娱乐,游戏网站	北京,石景山
比特网	chinabyte.com	网络科技,电脑硬件	北京,海淀
闽南网	mnw.cn	新闻媒体,新闻报刊	福建,泉州
91手机娱乐	91.com	休闲娱乐,游戏网站,综合其他,门户网站,网络科技,手机数码	福建,福州
果壳网	guokr.com	教育文化,科学探索	北京
新文化网	xwh.cn	综合其他,门户网站,地方网站	吉林,长春
陕西传媒网	sxdaily.com.cn	综合其他,地方网站	陕西
证券之星基金频道	fund.stockstar.com	生活服务,金融财经,证券网站	上海,浦东
国际新闻_环球网	world.huanqiu.com	新闻媒体	北京,朝阳
下厨房	xiachufang.com	生活服务,餐饮美食	北京,朝阳
微信网页版	wx.qq.com	综合其他,社交网站	广东,广州
胶东在线	jiaodong.net	综合其他,门户网站,地方网站,新闻媒体,新闻报刊	山东,烟台
ZOL手机软件	sj.zol.com.cn	网络科技,软件下载	北京,海淀
绿茶软件园	33lc.com	网络科技,软件下载	福建
城市中国	ccoo.cn	综合其他,门户网站,论坛综合,地方网站	北京,海淀
央视网体育	sports.cntv.cn	体育健身,体育综合	北京,海淀
慧聪商务搜索	s.hc360.com	综合其他,搜索引擎	北京,海淀
三联素材	3lian.com	网络科技,设计素材	福建,莆田
39健康问答	ask.39.net	教育文化,百科辞典	广东,广州
MBA智库	mbalib.com	综合其他,搜索引擎,生活服务,金融财经	福建,厦门
飞华健康网	fh21.com.cn	医疗健康,健康保健	北京,海淀
芒果TV	mgtv.com	新闻媒体,广播电视	湖南,长沙
乐游网	962.net	休闲娱乐,游戏网站	山东
漫漫看	manmankan.com	休闲娱乐,动漫网站	福建
搜狗问问	wenwen.sogou.com	教育文化,百科辞典	北京,海淀
口袋巴士	ptbus.com	休闲娱乐,游戏网站	北京,石景山
新浪游戏	games.sina.com.cn	休闲娱乐,游戏网站	北京,海淀
搜狐教育	learning.sohu.com	教育文化,教育资讯	北京,海淀
百度联盟	union.baidu.com	网络科技,广告联盟	北京,海淀
图吧 	mapbar.com	生活服务,常用查询,交通旅游,交通地图	北京,朝阳
QQ网名	oicq88.com	综合其他,QQ个性	福建
QQ邮箱	mail.qq.com	网络科技,邮件通信	广东,深圳
网易女人	lady.163.com	休闲娱乐,娱乐时尚	广东,广州
美食天下吃货俱乐部	home.meishichina.com	综合其他,论坛综合	北京,朝阳
齐家网	jia.com	生活服务,家居建材	上海,嘉定
亚马逊中国官网	amazon.cn	购物网站,电商网站	北京,朝阳
中国江苏网	jschina.com.cn	综合其他,门户网站,新闻媒体,新闻报刊	江苏,南京
网易彩票	caipiao.163.com	体育健身,福彩体彩	广东,深圳
苏宁易购	suning.com	购物网站,电商网站	江苏,南京
电影天堂	dy2018.com	休闲娱乐,视频电影	安徽
